               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1176,             0.03409,            0.040748,          0.00079148,            0.055556,          0.00047289,           0.0001297,             0.10977,            0.023869,            0.036621,              0.0883,              0.0013,              0.0013
                   1,             0.10424,            0.039747,            0.033985,           0.0044441,             0.62593,           0.0053461,           0.0011602,            0.094864,            0.027934,            0.030377,            0.075647,           0.0026465,           0.0026465
                   2,            0.088703,            0.043181,            0.026087,             0.70058,            0.088889,            0.076644,            0.017838,             0.08198,            0.027077,            0.025076,            0.062938,           0.0039376,           0.0039376
                   3,              0.0827,            0.042658,            0.022828,             0.58809,             0.24815,             0.17829,            0.047363,            0.080474,            0.023418,            0.022032,            0.050173,           0.0051733,           0.0051733
                   4,            0.078568,            0.036365,            0.019412,             0.41728,             0.52963,             0.15037,             0.05626,            0.073472,            0.030355,            0.025337,            0.037354,           0.0063535,           0.0063535
                   5,            0.079126,            0.033962,            0.018787,             0.52389,                 0.4,             0.18049,            0.059232,            0.077824,            0.021378,            0.022289,            0.024478,           0.0074783,           0.0074783
                   6,             0.07822,            0.030098,            0.015936,              0.5008,             0.45926,             0.20756,            0.059002,            0.082537,            0.017168,            0.020746,            0.011548,           0.0085476,           0.0085476
                   7,             0.07471,            0.032537,            0.015489,             0.59498,              0.4068,                0.25,            0.075088,            0.070363,            0.016439,            0.016699,            0.008614,            0.008614,            0.008614
                   8,            0.073125,            0.028809,            0.012874,             0.47116,                 0.5,             0.21293,            0.081837,            0.071705,             0.01603,             0.01339,            0.008614,            0.008614,            0.008614
                   9,            0.067618,            0.028758,            0.010491,             0.59884,             0.45234,             0.31754,             0.12154,            0.060446,            0.015376,            0.010662,            0.008416,            0.008416,            0.008416
                  10,            0.063323,            0.027209,            0.010535,             0.57375,             0.47407,             0.32732,              0.1181,            0.062972,            0.015205,            0.011797,            0.008218,            0.008218,            0.008218
                  11,            0.063244,            0.027565,            0.009228,             0.57662,             0.42925,             0.32633,             0.13213,            0.057254,            0.014499,            0.012746,             0.00802,             0.00802,             0.00802
